name,logo,image,image_upright,image_caption,trading_name,former_name,type,traded_as,industry,area_served,key_people,products,services,revenue,revenue_year,operating_income,income_year,net_income,net_income_year,assets,assets_year,equity,equity_year,founders,founded,hq_location,hq_location_city,hq_location_country,num_employees,website,footnotes,_company_name,logo_alt,image_alt,trade_name,founder,brands,logo_size,image_size,location,subsid,owner,foundation,predecessor,num_employees_year,former_names,ISIN,logo_upright,logo_caption,num_locations,num_locations_year,module,parent,homepage,predecessors,owners,location_city,location_country,divisions,locations,members,members_year,production,defunct,fate,successor,native_name,logo_class,genre
"Netflix, Inc.",Netflix 2015 logo.svg,101 Albright Way.jpg,1.05,"Headquarters in [[Los Gatos, California]], in 2019",,,[[Public company|Public]],{{ubl|Nasdaq|NFLX|[[Nasdaq-100]] component|[[S&P 100]] component|[[S&P 500]] component}} {{Nasdaq|NFLX}},{{ubl|[[Media conglomerate|Media]]|[[Outline of entertainment|Entertainment]]}},,"{{Plainlist|
* Reed Hastings ([[Chair (officer)|executive chairman]])
* [[Ted Sarandos]] ([[Chief executive officer|co-CEO]])
* [[Greg Peters (businessman)|Greg Peters]] (co-CEO)}}","{{Plainlist|
* [[Comic book]]s
* [[Film]]s
* [[Music]]
* [[Television show]]s
* [[Video game]]s
* [[Web portal]]s
* [[Home media]]
* [[Digital distribution]]}}","{{Plainlist|
* [[Streaming media|Streaming]]
* [[Television]]}}",{{increase}} {{US$|39.0&nbsp;billion|link|=|no}},2024,{{increase}} {{US$|10.4&nbsp;billion}},2024,{{increase}} {{US$|8.71&nbsp;billion}},2024,{{increase}} {{US$|53.6 billion}},2024,{{increase}} {{US$|24.7 billion}},2024,"{{Plainlist|
* [[Reed Hastings]]
* [[Marc Randolph]]}}",{{start date and age|1997|8|29}},,"[[Los Gatos, California]]",U.S.,"{{circa|15,000}}",{{URL|https://about.netflix.com}},,"Netflix, Inc.",,,,,[[Netflix]],,,,"{{Plainlist|
* [[Netflix Hollywood Studios|Hollywood Studios]]
* [[Albuquerque Studios]]
* London Shepperton Studios
* Madrid Tres Cantos Studios
* Vancouver Martini Studios
* [[Pinewood Toronto Studios|Toronto Pinewood]]/[[Cinespace Film Studios|Cinespace Studios]] 
* Netflix Pictures
* Netflix Studios
* [[Netflix Animation]]
* Netflix Music
* Fast.com
* [[Millarworld]]
* [[StoryBots]], Inc.
* [[Grauman's Egyptian Theatre]]
* Broke and Bones (stake)
* [[Roald Dahl]] Story Company
* [[Night School Studio]]
* Netflix Pty Ltd
* [[Eyeline]]
* Next Games
* [[Spry Fox]]}}",,,,2025,,,1.05,Netflix's logo used since June 2014,,,,,,,,,,"{{Plainlist|
* Domestic and International Streaming}}",,,,,,,,,,
Nvidia Corporation,[[File:NVIDIA logo.svg|frameless|upright=1.2|class=skin-invert]],2788-2888 San Tomas Expwy.jpg,1.2,"Headquarters in [[Santa Clara, California]], in 2023",,,[[Public company|Public]],"{{Unbulleted list
  | |NASDAQ|NVDA|
  | [[Nasdaq-100]] component
  | [[DJIA]] component
  | [[S&P 100]] component
  | [[S&P 500]] component}} {{NASDAQ|NVDA}}",[[Semiconductor industry|Semiconductors]],Worldwide,"{{Unbulleted list
  | Jensen Huang|<!-- Please do not link; this has been already linked. See [[WP:OVERLINK]] -->| ([[President (corporate title)|president]] and [[Chief executive officer|CEO]])
  | [[Bill Dally]] (chief scientist)}} ([[President (corporate title)|president]] and [[Chief executive officer|CEO]])",,,{{increase}} {{US$|130.5 billion}} (FY25),,{{increase}} {{US$|81.5 billion}} (FY25),,{{increase}} {{US$|72.9 billion}} (FY25),,{{nowrap| |increase| |US$|111.6 billion| (FY25)}} {{increase}} {{US$|111.6 billion}} (FY25),,{{increase}} {{US$|79.3 billion}} (FY25),,"{{Unbulleted list
  | [[Jensen Huang]]
  | [[Chris Malachowsky]]
  | [[Curtis Priem]]}}",,,"Santa Clara, California",U.S.,"36,000 (FY25)",,Financials {{As of|2025|1|26|df|=|US|lc|=|y|pre|=|[[fiscal year]] ended}} (FY25).<br />References:,Nvidia,,,,,,,,,"{{Unbulleted list
  | [[Bright Computing]]
  | [[Cumulus Networks]]
  | [[DeepMap]]
  | [[Mellanox Technologies]]
  | [[Mental Images]]}}",,"{{start date and age|1993|4|5}} , in [[Sunnyvale, California]], U.S.",,,,,,Logo used since 2006,,,,,{{URL|https://www.nvidia.com/|nvidia.com}},,,,,,,,,,,,,,,
NXP Semiconductors N.V.,NXP   Semiconductors logo 2023.svg,NXPHQ.JPG,,"Headquarters in [[Eindhoven]], Netherlands",,,[[Public company|Public]],{{ubl|NASDAQ|NXPI|[[Nasdaq-100]] component|[[S&P 500]] component}} {{NASDAQ|NXPI}},[[Semiconductors]],,{{unbulletedlist|[[Peter Bonfield]] ([[chairman]])|Kurt Sievers ([[President (corporate title)|president]] and [[Chief executive officer|CEO]])}},[[Integrated circuit]]s,,{{nowrap|decrease| |US$|12.6&nbsp;billion|link|=|yes| (2024)}} {{decrease}} {{US$|12.6&nbsp;billion|link|=|yes}} (2024),,{{nowrap|decrease| US$3.42&nbsp;billion (2024)}} {{decrease}} US$3.42&nbsp;billion (2024),,{{nowrap|decrease| US$2.51&nbsp;billion (2024)}} {{decrease}} US$2.51&nbsp;billion (2024),,{{nowrap|increase| US$24.4&nbsp;billion (2024)}} {{increase}} US$24.4&nbsp;billion (2024),,{{nowrap|increase| US$9.18&nbsp;billion (2024)}} {{increase}} US$9.18&nbsp;billion (2024),,,,,,,"33,100 (2024)",{{URL|https://www.nxp.com/|nxp.com}},,NXP Semiconductors,,,,,,,,"[[High Tech Campus Eindhoven|High Tech Campus]], [[Eindhoven]], Netherlands",,,"{{start date and age|2006}} , as a [[Corporate spin-off|spin-off]] of [[Philips]]",,,,,,,,,,,,,,,,,,,,,,,,,,
"O'Reilly Automotive, Inc.",O'Reilly Auto Parts Logo.svg,O'Reilly Auto Parts.webp,,"O'Reilly Auto Parts store in [[La Crosse, Wisconsin]]",,,[[Public company|Public]],{{ubl|NASDAQ|ORLY|[[Nasdaq-100]] component|[[S&P 500]] component}} {{NASDAQ|ORLY}},Retail,{{Unbulleted list|United States|Mexico|Canada}},Brad Beckham ([[Chief executive officer|CEO]]),Auto parts,,{{nowrap|increase| US$16.7&nbsp;billion (2024)}} {{increase}} US$16.7&nbsp;billion (2024),,{{increase}} US$3.25&nbsp;billion (2024),,{{increase}} US$2.39&nbsp;billion (2024),,{{increase}} US$14.9&nbsp;billion (2024),,{{increasenegative}} US$&minus;1.4&nbsp;billion (2024),,{{Unbulleted list|Charles F. O'Reilly|Charles H. O'Reilly}},{{Start date and age|1957|12|2}},"[[Springfield, Missouri]], U.S.",,,"93,269 (Q3 2025)",{{URL|https://oreillyauto.com}},,O'Reilly Automotive,,,O'Reilly Auto Parts,,,,,,,,,,,,,,,,,,,,,,,,,"6,538 (Q3 2025)",,,,,,,,,
"Old Dominion Freight Line, Inc.","Old Dominion Freight Line, Inc. Logo.png",Old Dominion Freight Line.jpg,,Old Dominion Freight Line Service Center,,,[[Public company|Public]],{{ubl|NASDAQ|ODFL|[[DJTA]] component|[[Nasdaq-100]] component|[[S&P 500]] component}} {{NASDAQ|ODFL}},[[Transportation]],Worldwide,"{{ubl|David S. Congdon ([[executive chairman]])|Kevin ""Marty"" Freeman ([[President (corporate title)|president]] & [[Chief executive officer|CEO]])|Gregory Plemmons ([[Chief operating officer|COO]])|Adam Satterfield ([[Chief financial officer|CFO]])}}",,,{{decrease}} {{US$|5.81&nbsp;billion|link|=|yes}},2024,{{decrease}} {{US$|1.54&nbsp;billion}},2024,{{decrease}} {{US$|1.19&nbsp;billion}},2024,{{decrease}} {{US$|5.49&nbsp;billion}},2024,{{decrease}} {{US$|4.24&nbsp;billion}},2024,{{ubl|Earl Congdon Sr.|Lillian Congdon}},"{{Start date and age|1934}} in [[Richmond, Virginia]], U.S.","[[Thomasville, North Carolina]], U.S.",,,"21,895",,,Old Dominion Freight Line,,,,,,255px,,,,,,,2024,,{{ISIN|sl|=|n|pl|=|y|US6795801009}},,,261 service centers,2024,,,{{URL|odfl.com}},,Congdon family (11.8%),,,,,,,,,,,,,
ON Semiconductor Corporation,onsemi logo 2021.svg,,,,,,[[Public company|Public]],{{ubl|NASDAQ|ON|[[Nasdaq-100]] component|[[S&P 500]] component}} {{NASDAQ|ON}},[[Semiconductors]],Worldwide,{{nowrap|Alan Campbell}} <br> {{nowrap|([[Chairman#Public corporations|chairman]])}} <br> {{nowrap|Hassane El-Khoury}} <br> {{nowrap|([[President (corporate title)|president]] & [[Chief executive officer|CEO]])}} <br> {{nowrap|Thad Trent}} <br> {{nowrap|([[Vice president#In business|EVP]] & [[Chief financial officer|CFO]])}},"Intelligent power and sensing technologies<br>Power & signal management<br>Logic, discrete, & custom solutions",,{{decrease}} {{US$|7.082 billion|link|=|yes}} (2024),,{{decrease}} {{US$|1.837 billion}} (2024),,{{decrease}} {{US$|1.574 billion}} (2024),,{{increase}} {{US$|14.1 billion}} (2024),,{{increase}} {{US$|8.80 billion}} (2024),,,{{Start date and age|1999}},"[[Scottsdale, Arizona]], U.S.",,,"≈&nbsp;26,000",{{URL|https://www.onsemi.com/|onsemi.com}},,Onsemi,,,onsemi,,,,,,,,,,December 2024,,{{ISIN|sl|=|n|pl|=|y|US6821891057}},1.15,,,,,,,{{ubl|Motorola Semiconductor Products Sector}},,,,,,,,,,,,,,
Paccar Inc.,[[File:Paccar Inc logo.svg|250px]],Paccar Tower.jpg,,"The PACCAR Building, the company's headquarters in Bellevue, Washington, U.S.",,,[[Public company|Public]],{{ubl|NASDAQ|PCAR|[[Nasdaq-100]] component|[[S&P 500]] component}} {{NASDAQ|PCAR}},{{ubl|[[Heavy equipment (construction)|Heavy equipment]]|[[Automotive]]|[[Engines]]|[[Powertrain]]|Truck components|[[Financial services]]|[[Information technology]]}},Worldwide,{{ubl|[[Mark Pigott|Mark C. Pigott]] ([[chairman]])|Preston Feight ([[Chief executive officer|CEO]])}},"{{Collapsible list
  |framestyle|=|border:none; padding:0;
  |title|=|<small>Products List</small>
  |1|=|[[Diesel engine|Paccar MX13 & MX11]]
  |2|=|[[Diesel engine|Paccar PR, GR & FR]]
  |3|=|[[Winch|Braden, Carco & Gearmatic]] 
  |4|=|[[Axle|Tandem Axle]]
  |5|=|[[Truck classification#Class 6|Class 6 Trucks]]
  |6|=|[[Truck classification#Class 7|Class 7 Trucks]]
  |7|=|[[Class 8 truck|Class 8 Trucks]]}}",,{{nowrap|decrease| |US$|31.6&nbsp;billion|link|=|yes| (2024)}} {{decrease}} {{US$|31.6&nbsp;billion|link|=|yes}} (2024),,{{decrease}} {{US$|4.31&nbsp;billion}} (2024),,{{decrease}} {{US$|4.16&nbsp;billion}} (2024),,{{increase}} {{US$|43.4&nbsp;billion}} (2024),,{{increase}} {{US$|17.5&nbsp;billion}} (2024),,,,,,,"30,100 (2024)",,,Paccar,,,,,,,,"[[Bellevue, Washington]], United States","{{Collapsible list|title|=|List|
'''Transportation'''
* [[Kenworth]]
* [[Peterbilt]]
* [[DAF Trucks]]
** [[Tatra (company)|Tatra]] (19%)|ref|{{cite web|url=https://www.reuters.com/article/2011/08/02/tatra-daf-contract-idUSL6E7J22MS20110802|title=PACCAR's DAF to gain share in Czech Tatra|publisher=Reuters|date=2 Aug 2011|access-date=25 Jun 2013}}|</ref>|ref|{{cite web|url=http://www.tatratrucks.com/about-the-company/press-and-media/news/tatra-and-daf-trucks-sign-cooperation-agreements/|title=Tatra & DAF Trucks sign Cooperation Agreement|publisher=Tatra Trucks A.S.|date=2 Aug 2011|access-date=25 Jun 2013}}|</ref>|
* [[Leyland Trucks]]
'''Financial services'''
* Paccar Financial Corp.
* PacLease
'''Equipment'''
* Winch
** Braden
** Carco
** Germatic
'''Aftermarket parts'''
* Paccar Parts
** Paccar Parts Europe
** Paccar Parts South America
'''International sales'''
* Paccar Global Sales
'''Information technology'''
* Paccar ITD
'''Truck components'''
* Dynacraft
'''Research and development'''
* Paccar Technical Center
* DAF Central Lab
'''Engine manufacturing'''
* Paccar Engine Company
'''International'''
* Paccar Australia
** [[Kenworth Australia]]
** DAF Trucks Australia
* Paccar New Zealand
** Southpac Trucks
** ALL RIG Parts
* Paccar Mexicana
** Kenworth Mexicana
** Peterbilt Mexicana
* Paccar Canada
** Kenworth Canada
** Peterbilt Canada
* Paccar India
* Paccar China
* Paccar Brazil
** DAF Trucks Brazil}} * [[Leyland Trucks]]
'''Financial services'''
* Paccar Financial Corp.
* PacLease
'''Equipment'''
* Winch
** Braden
** Carco
** Germatic
'''Aftermarket parts'''
* Paccar Parts
** Paccar Parts Europe
** Paccar Parts South America
'''International sales'''
* Paccar Global Sales
'''Information technology'''
* Paccar ITD
'''Truck components'''
* Dynacraft
'''Research and development'''
* Paccar Technical Center
* DAF Central Lab
'''Engine manufacturing'''
* Paccar Engine Company
'''International'''
* Paccar Australia
** [[Kenworth Australia]]
** DAF Trucks Australia
* Paccar New Zealand
** Southpac Trucks
** ALL RIG Parts
* Paccar Mexicana
** Kenworth Mexicana
** Peterbilt Mexicana
* Paccar Canada
** Kenworth Canada
** Peterbilt Canada
* Paccar India
* Paccar China
* Paccar Brazil
** DAF Trucks Brazil",,{{Start date and age|1905}},,,,,,,,,,,{{URL|paccar.com}},,,,,{{ubl|[[Kenworth]]|[[Peterbilt]]}} [[DAF Trucks]],,,,,,,,,,
Palantir Technologies Inc.,Palantir Technologies logo.svg,,,,,,[[Public company|Public]],{{ubl|class|=|nowrap|NASDAQ|PLTR| (Class A)|[[Nasdaq-100]] component|[[S&P 100]] component|[[S&P 500]] component}} {{NASDAQ|PLTR}} (Class A),[[Software]],,"{{plainlist|
* Peter Thiel ([[chairman]])
* Alex Karp ([[Chief executive officer|CEO]])
* Stephen Cohen ([[President (corporate title)|president]])}}","{{plain list|
* Palantir Gotham
* Palantir Foundry
* Palantir Apollo}}",,{{nowrap|increase| |US$|2.87 billion|link|=|yes| (2024)}} {{increase}} {{US$|2.87 billion|link|=|yes}} (2024),,{{nowrap|increase| US$310 million (2024)}} {{increase}} US$310 million (2024),,{{nowrap|increase| US$462 million (2024)}} {{increase}} US$462 million (2024),,{{nowrap|increase| US$6.34 billion (2024)}} {{increase}} US$6.34 billion (2024),,{{nowrap|increase| US$5.09 billion (2024)}} {{increase}} US$5.09 billion (2024),,{{unbulleted list|[[Peter Thiel]]|[[Stephen Cohen (entrepreneur)|Stephen Cohen]]|[[Alex Karp]]|[[Joe Lonsdale]]|Nathan Gettings}},"{{Start date and age|May 6, 2003}}","[[Denver]], Colorado, U.S.",,,"3,936 (2024)",{{URL|https://www.palantir.com/|palantir.com}},,Palantir Technologies,,,,,,,,,,,,,,,,1.15,,,,,,,,,,,,,,,,,,,,,
"Palo Alto Networks, Inc.",PaloAltoNetworks 2020 Logo.svg,Palo Alto Networks Headquarters South Side 2018.jpg,,"Headquarters in [[Santa Clara, California]]",,,[[Public company|Public]],{{ubl|NASDAQ|PANW|[[Nasdaq-100]] component|[[S&P 500]] component}} {{NASDAQ|PANW}},[[Network security]]<br />[[computer security|Cybersecurity]] <br />[[Cloud computing]],Worldwide,[[Nikesh Arora]] ([[Chief executive officer|CEO]]),"PA 220, 4x0, 8x0, 32x0, 34x0, 54x0, 70x0, VM, CN firewall series <br />Prisma SASE, Prisma Cloud, Cortex [[Extended detection and response|XDR]], Cortex Xpanse, Cortex XSOAR, Cortex XSIAM",,{{nowrap|Increase}} {{Increase}} {{US$|9.22&nbsp;billion|link|=|yes}},2025,{{nowrap|Increase| |US$|1.24&nbsp;billion}} {{Increase}} {{US$|1.24&nbsp;billion}},2025,{{nowrap|Decrease| |US$|1.13&nbsp;billion}} {{Decrease}} {{US$|1.13&nbsp;billion}},2025,{{nowrap|Increase| |US$|23.6&nbsp;billion}} {{Increase}} {{US$|23.6&nbsp;billion}},2025,{{nowrap|Increase| |US$|7.82&nbsp;billion}} {{Increase}} {{US$|7.82&nbsp;billion}},2025,,{{Start date and age|2005}},,,,"16,068",{{URL|paloaltonetworks.com}},Financials {{as of|2025|07|31|lc|=|y|df|=|US}} .,Palo Alto Networks,,,,Nir Zuk,,,,,,,,,2025,,,,,,,,,,,,"[[Santa Clara, California]]",U.S.,,,,,,,,,,,
"Paychex, Inc.",Paychex logo.svg,Paychex headquarters.JPG,,"Headquarters in [[Rochester, New York]]",,,[[Public company|Public]],{{ubl|class|=|nowrap|NASDAQ|PAYX|[[Nasdaq-100]] component|[[S&P 500]] component}} {{NASDAQ|PAYX}},{{ubl|[[Business process outsourcing]]|[[Human capital management]]}},{{ubl|United States|Brazil|Denmark|Germany|Norway|Sweden}},"{{ubl|class|=|nowrap
 | [[B. Thomas Golisano]] (chairman)
 | John Gibson ([[President (corporate title)|president]] & [[Chief executive officer|CEO]])
 | Robert Schrader ([[Chief financial officer|CFO]])}}",,Payroll and HR services,{{nowrap|increase| |US$|5.57&nbsp;billion|link|=|yes| (2025)}} {{increase}} {{US$|5.57&nbsp;billion|link|=|yes}} (2025),,{{nowrap|increase| US$2.21&nbsp;billion (2025)}} {{increase}} US$2.21&nbsp;billion (2025),,{{nowrap|decrease| US$1.66&nbsp;billion (2025)}} {{decrease}} US$1.66&nbsp;billion (2025),,{{nowrap|increase| US$16.6&nbsp;billion (2025)}} {{increase}} US$16.6&nbsp;billion (2025),,{{nowrap|increase| US$4.13&nbsp;billion (2025)}} {{increase}} US$4.13&nbsp;billion (2025),,,{{Start date and age|1971}},,,,"{{circa|19,000}}",{{URL|paychex.com}},,Paychex,,,,{{nowrap|[[B. Thomas Golisano]]}},,,,"[[Rochester, New York]], U.S.",,,,,2025,,,,,,,,,,,,,,,,,,,,,,,,
"PayPal Holdings, Inc.",PayPal 2024.svg,PayPal San Jose Headquarters.jpg,,"Headquarters in [[San Jose, California]]",,,[[Public company|Public]],"{{ubl
  | |NASDAQ|PYPL|
  | [[Nasdaq-100]] component
  | [[S&P 100]] component
  | [[S&P 500]] component}} {{NASDAQ|PYPL}}",[[Financial technology]],Almost worldwide,"{{ubl
  | [[John Donahoe]] <br />([[Chairman#Public corporations|chairman]])
  | Alex Chriss <br />([[President (corporate title)|president]] and [[Chief executive officer|CEO]])|ref|{{cite web|url=https://about.pypl.com/who-we-are/executive-leadership/alex-chriss/default.aspx|title=Executive Leadership |website=PayPal |access-date=2023-09-27 |url-status=live |archive-url=https://web.archive.org/web/20230927134509/https://about.pypl.com/who-we-are/executive-leadership/alex-chriss/default.aspx |archive-date=  2023-09-27 }}|</ref>|}}","[[Credit card]]s, [[payment systems]]",,{{increase}} {{US$|31.8 billion|link|=|yes}} (2024),,{{increase}} {{US$|5.33 billion}} (2024),,{{decrease}} {{US$|4.15 billion}} (2024),,{{decrease}} {{US$|81.6 billion}} (2024),,{{decrease}} {{US$|20.4 billion}} (2024),,"{{ubl
  | [[Ken Howery]]
  | [[Max Levchin]]
  | [[Luke Nosek]]
  | [[Yu Pan]]
  | [[Peter Thiel]]
  | [[Elon Musk]]
  | Harris Fricker
  | Christopher Payne
  | Ed Ho}}","{{ubl
  | |start date and age|1998|12| (as [[Confinity]])
  | |start date and age|1999|10| (as [[X.com (bank)|X.com]])
  | |start date and age|2000|03| (as PayPal)}} {{start date and age|1998|12}} (as [[Confinity]]) {{start date and age|1999|10}} (as [[X.com (bank)|X.com]]) {{start date and age|2000|03}} (as PayPal)",,,,"24,400 (2024)",{{URL|paypal.com}},,PayPal,,,,,,,250px,"[[San Jose, California]], U.S.","{{hlist
  | [[Braintree (company)|Braintree]]
  | [[PayPal Honey]]
  | [[Paydiant]]
  | [[PayPal Credit]]
  | [[Venmo]]
  | [[Xoom Corporation|Xoom]]
  | [[Zettle]]}}",,,,,,,,,,,,,,"{{ubl
  | [[Confinity]]
  | [[X.com (bank)|X.com]]}}",,,,"{{ubl
  | PayPal Inc. (PPI)|ref| name=""sec_gov""|
  | PayPal Pte. Ltd (3PL)|ref| name=""sec_gov""|
  | PayPal Payments Pte. Holdings (PPLUX)|ref| name=""sec_gov""|
  | PayPal Payments Pte Limited (4PL)}}",,,,,,,,,skin-invert-image,
Pinduoduo,Pinduoduo logo.svg,202309 Jin Hongqiao International Center at Night.jpg,,"Pinduoduo's headquarters are inside the Jin Hongqiao International Center, Shanghai.",,,[[Public company|Public]],{{ubl|class|=|nowrap|NASDAQ|PDD|[[Nasdaq-100]] component}} {{NASDAQ|PDD}},{{ubl|[[Internet]]|[[Agriculture]]}},,Lei Chen,{{ubl|[[E-commerce]]|[[Agriculture]]}},,{{increase}} [[US$]] 34.981 billion (2023),,,,{{increase}} [[US$]] 8.479 billion (2023),,{{increase}} [[US$]] 49.040 billion (2023),,,,,"{{Start date and age|2015}} , [[China]]",,[[Shanghai]],China,"17,403 (2023)",{{Official URL}},,PDD Holdings,,,,[[Colin Huang|Colin Huang Zheng]],,,,,,,,,,,,,,,,,PDD Holdings,,,,,,,,,,,,,,拼多多,,
"PepsiCo, Inc.",,PepsiCoHQPurchaseNY.jpg,1.05,"PepsiCo's global headquarters in [[Harrison, New York]]",,,[[Public company|Public]],{{ubl|NASDAQ|PEP|[[Nasdaq-100]] component|[[S&P 100]] component|[[S&P 500]] component}} {{NASDAQ|PEP}},{{ubl|[[Drink industry|Beverages]]|[[Food processing]]}},Worldwide,[[Ramon Laguarta]] ([[Chairperson|chairman]] & [[Chief executive officer|CEO]])<br />Jamie Caulfield ([[Executive vice president|EVP]] and [[Chief financial officer|CFO]]),,,{{increase}} {{US$|91.85 billion|link|=|yes}} (2024),,{{increase}} {{US$|12.89 billion}} (2024),,{{increase}} {{US$|9.578 billion}} (2024),,{{decrease}} {{US$|99.47 billion}} (2024),,{{decrease}} {{US$|18.04 billion}} (2024),,,,,"[[Harrison, New York]]",U.S.,"318,000 (2024)",{{url|https://www.pepsico.com/|pepsico.com}},,PepsiCo,,,,[[Caleb Bradham]] (for the Pepsi-Cola Company branch),[[List of PepsiCo brands]],,,,[[List of assets owned by PepsiCo|List of subsidiaries]],,"{{ubl|Start date and age|1898|8|28|[[New Bern, North Carolina]], U.S. (as the Pepsi-Cola Company)|start date and age|1965|6|8| (as PepsiCo)}} {{Start date and age|1898|8|28}} {{start date and age|1965|6|8}}","Pepsi-Cola Company<br>Frito-Lay, Inc.",,,,1.05,,,,,,,,,,,,,,,,,,,,,
Qualcomm Incorporated,[[File:Qualcomm-Logo.svg|upright=1.15|frameless|class=skin-invert-image]],Qualcomm Headquarters La Jolla.jpg,1.15,"Headquarters in San Diego, California",,,[[Public company|Public]],{{ubl|NASDAQ|QCOM|[[Nasdaq-100]] component|[[S&P 100]] component|[[S&P 500]] component}} {{NASDAQ|QCOM}},{{nowrap|[[Telecoms equipment]]s<br />[[Semiconductor industry|Semiconductor]]s}},Worldwide,{{ubl|[[Cristiano Amon]] ([[Chief executive officer|CEO]])|Mark D. McLaughlin ([[chairman]])}},"[[CDMA]]/[[WCDMA]] [[chipsets]], [[Snapdragon (processor)|Snapdragon]], Dragonwing, [[Qualcomm Brew|BREW]], OmniTRACS, [[MediaFLO]], [[QChat]], [[Interferometric modulator display|mirasol displays]], uiOne, [[Qualcomm Gobi|Gobi]], [[Qizx]], [[Central processing unit|CPU]]",,"{{Increase}} {{US$|44.28&nbsp;[[1,000,000,000|billion]]|link|=|yes}} (2025)",,{{Increase}} {{US$|12.36&nbsp;billion}} (2025),,{{Decrease}} {{US$|5.541&nbsp;billion}} (2025),,{{Decrease}} {{US$|50.14&nbsp;billion}} (2025),,{{Decrease}} {{US$|21.21&nbsp;billion}} (2025),,{{ubl|[[Irwin M. Jacobs|Irwin Jacobs]]|[[Andrew Viterbi]]|Franklin Antonio}},,,,,"{{circa|52,000}} (2025)",{{URL|https://www.qualcomm.com/|qualcomm.com}},Financials {{as of|2025|09|28|lc|=|y|df|=|US}} .,Qualcomm,,,,,,,,,{{ubl|[[Airgo Networks]]|[[CSR plc]]|[[Ikanos Communications]]|Nuvia|[[Qualcomm Atheros]]|[[SiRF]]|[[Arduino]]}},,{{start date and age|1985|7}},,,,,,,,,,,,,,"[[San Diego]], California",U.S.,,,,,,,,,,,
"Regeneron Pharmaceuticals, Inc.",Regeneron logo.svg,Regeneron Pharmaceuticals (52641236716).jpg,,Headquarters,,,[[Public company|Public]],{{Unbulleted list|NASDAQ|REGN|[[Nasdaq-100]] component|[[S&P 500]] component}} {{NASDAQ|REGN}},{{ubl|[[Pharmaceutical company|Pharmaceuticals]]|  [[Biotech company|Biotech]]}},Global,{{ubl|class|=|nowrap|Leonard Schleifer ([[Chief Executive Officer|CEO]])|George Yancopoulos ([[Chief scientific officer|CSO]])}},,,{{increase}} {{US$|14.20 billion|link|=|yes}} (2024),,{{decrease}} US$3.991 billion (2024),,{{increase}} US$4.413 billion (2024),,{{increase}} US$37.76 billion (2024),,{{increase}} US$29.35 billion (2024),,{{ubl|[[Leonard Schleifer]] |[[George Yancopoulos]]}},,"[[Tarrytown, New York]], U.S.",,,"15,106 (2024)",,,Regeneron Pharmaceuticals,,,,,,250px,,,,,{{start date and age|1988}},,,,,,,,,,,{{Official URL}},,,,,,,,,,,,,,,
"Roper Technologies, Inc.",Roper_Technologies_logo.svg,,,,,"Roper Industries, Inc.",[[Public company|Public]],{{ubl|NASDAQ|ROP|[[Nasdaq-100]] component|[[S&P 500]] component}} {{NASDAQ|ROP}},[[Conglomerate (company)|Conglomerate]],,{{ubl|Neil Hunn ([[President (corporate title)|president]] & [[Chief executive officer|CEO]])|[[Amy Woods Brinkley]] ([[Chairperson|chair]])}},"Industrial technology, [[radio frequency]] (RF) technology, scientific and industrial [[:wikt:imaging|imaging]], [[energy]] systems and [[Control system|controls]], and [[instrumentation]]",,{{increase}} {{US$|7.04&nbsp;billion|link|=|yes}} (2024),,{{increase}} {{US$|1.99&nbsp;billion}} (2024),,{{increase}} {{US$|1.55&nbsp;billion}} (2024),,{{increase}} {{US$|31.3&nbsp;billion}} (2024),,{{increase}} {{US$|18.9&nbsp;billion}} (2024),,,{{Start date and age|1890}},"[[Sarasota, Florida]], U.S.",,,"18,200 (2024)",{{URL|https://www.ropertech.com/}},,Roper Technologies,,,,,,,,,[[DAT Solutions]],,,,,,,,,,,,,,,,,,,,,,,,,,,,
